DATE,GAS
20-08-1990,1.191
27-08-1990,1.245
03-09-1990,1.242
10-09-1990,1.252
17-09-1990,1.266
24-09-1990,1.272
01-10-1990,1.321
08-10-1990,1.333
15-10-1990,1.339
22-10-1990,1.345
29-10-1990,1.339
05-11-1990,1.334
12-11-1990,1.328
19-11-1990,1.323
26-11-1990,1.311
03-12-1990,1.341
21-01-1991,1.192
28-01-1991,1.168
04-02-1991,1.139
11-02-1991,1.106
18-02-1991,1.078
25-02-1991,1.054
04-03-1991,1.025
11-03-1991,1.045
18-03-1991,1.043
25-03-1991,1.047
01-04-1991,1.052
08-04-1991,1.066
15-04-1991,1.069
22-04-1991,1.090
29-04-1991,1.104
06-05-1991,1.113
13-05-1991,1.121
20-05-1991,1.129
27-05-1991,1.140
03-06-1991,1.138
10-06-1991,1.135
17-06-1991,1.126
24-06-1991,1.114
01-07-1991,1.104
08-07-1991,1.098
15-07-1991,1.094
22-07-1991,1.091
29-07-1991,1.091
05-08-1991,1.099
12-08-1991,1.112
19-08-1991,1.124
26-08-1991,1.124
02-09-1991,1.127
09-09-1991,1.120
16-09-1991,1.110
23-09-1991,1.097
30-09-1991,1.092
07-10-1991,1.089
14-10-1991,1.084
21-10-1991,1.088
28-10-1991,1.091
04-11-1991,1.091
11-11-1991,1.102
18-11-1991,1.104
25-11-1991,1.099
02-12-1991,1.099
09-12-1991,1.091
16-12-1991,1.075
23-12-1991,1.063
30-12-1991,1.053
06-01-1992,1.042
13-01-1992,1.026
20-01-1992,1.014
27-01-1992,1.006
03-02-1992,0.995
10-02-1992,1.004
17-02-1992,1.011
24-02-1992,1.014
02-03-1992,1.012
09-03-1992,1.013
16-03-1992,1.010
23-03-1992,1.015
30-03-1992,1.013
06-04-1992,1.026
13-04-1992,1.051
20-04-1992,1.058
27-04-1992,1.072
04-05-1992,1.089
11-05-1992,1.102
18-05-1992,1.118
25-05-1992,1.120
01-06-1992,1.128
08-06-1992,1.143
15-06-1992,1.151
22-06-1992,1.153
29-06-1992,1.149
06-07-1992,1.147
13-07-1992,1.139
20-07-1992,1.132
27-07-1992,1.128
03-08-1992,1.126
10-08-1992,1.123
17-08-1992,1.116
24-08-1992,1.123
31-08-1992,1.121
07-09-1992,1.121
14-09-1992,1.124
21-09-1992,1.123
28-09-1992,1.118
05-10-1992,1.115
12-10-1992,1.115
19-10-1992,1.113
26-10-1992,1.113
02-11-1992,1.120
09-11-1992,1.120
16-11-1992,1.112
23-11-1992,1.106
30-11-1992,1.098
07-12-1992,1.089
14-12-1992,1.078
21-12-1992,1.074
28-12-1992,1.069
04-01-1993,1.065
11-01-1993,1.066
18-01-1993,1.061
25-01-1993,1.055
01-02-1993,1.055
08-02-1993,1.062
15-02-1993,1.053
22-02-1993,1.047
01-03-1993,1.042
08-03-1993,1.048
15-03-1993,1.058
22-03-1993,1.056
29-03-1993,1.057
05-04-1993,1.068
12-04-1993,1.079
19-04-1993,1.079
26-04-1993,1.086
03-05-1993,1.086
10-05-1993,1.097
17-05-1993,1.106
24-05-1993,1.106
31-05-1993,1.107
07-06-1993,1.104
14-06-1993,1.101
21-06-1993,1.095
28-06-1993,1.089
05-07-1993,1.086
12-07-1993,1.081
19-07-1993,1.075
26-07-1993,1.069
02-08-1993,1.062
09-08-1993,1.060
16-08-1993,1.059
23-08-1993,1.065
30-08-1993,1.062
06-09-1993,1.055
13-09-1993,1.051
20-09-1993,1.045
27-09-1993,1.047
04-10-1993,1.092
11-10-1993,1.090
18-10-1993,1.093
25-10-1993,1.092
01-11-1993,1.084
08-11-1993,1.075
15-11-1993,1.064
22-11-1993,1.058
29-11-1993,1.051
06-12-1993,1.036
13-12-1993,1.018
20-12-1993,1.003
27-12-1993,0.999
03-01-1994,0.992
10-01-1994,0.995
17-01-1994,1.001
24-01-1994,0.999
31-01-1994,1.005
07-02-1994,1.007
14-02-1994,1.016
21-02-1994,1.009
28-02-1994,1.004
07-03-1994,1.007
14-03-1994,1.005
21-03-1994,1.007
28-03-1994,1.012
04-04-1994,1.011
11-04-1994,1.028
18-04-1994,1.033
25-04-1994,1.037
02-05-1994,1.040
09-05-1994,1.045
16-05-1994,1.046
